,nick,normal,double,1.5meeting
111,jonesy,0 days 00:40:00.000000000,1:20:0,2:0:0
112,elsi,0 days 00:40:00.000000000,1:20:0,2:0:0
113,holalula,0 days 00:40:00.000000000,1:20:0,2:0:0
114,mü,0 days 00:40:00.000000000,1:20:0,2:0:0
115,sapfire,0 days 00:40:00.000000000,1:20:0,2:0:0
116,st31ny,0 days 00:40:00.000000000,1:20:0,2:0:0
117,stb,0 days 00:40:00.000000000,1:20:0,2:0:0
118,ericpende,0 days 00:40:00.000000000,1:20:0,2:0:0
119,@bitnapper,0 days 00:30:00.000000000,1:0:0,1:45:0
120,raikl,0 days 00:20:00.000000000,0:40:0,1:30:0
